GF3 code,standard_name,Name,units,P06 unit name,P06 unit code,MEDS match,IML match,P01 code,P01: preferred name
HCDT,,Horizontal Current Direction (true)  ,degrees,Degrees ,UAAA,"N: ""Direction to which horizontal current is flowing (relative to true north) """,Y,,
HCSP,barotropic_sea_water_x_velocity,Horizontal Current Speed  ,m s-1,metres per second,UVAA,Y,Y,LCSAZZ01,Current speed (Eulerian) in the water body
HGHT,height_above_mean_sea_level, Height/Altitude above Sea Surface  ,metres,Metres,ULAA,Y,Y,,
HSUL,, Hydrogen Sulphide (H2S-S) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase]
IDEN,,Data identifier,1,,,,,,
LATD,latitude,Latitude Degrees (North +ve)  ,degrees,Degrees ,UAAA,Y,Y,ALATZZ01,Latitude north
LCHL,,Chlorophyll-a Content from cells > 5um,mg m-3,,,,,,
LHIS,,Life History or Development Stage ,1,,,,,,
LOND,longitude,Longitude Degrees (East +ve)  ,degrees,Degrees ,UAAA,Y,Y,ALONZZ01,Longitude east
LPHA,,Phaeopigment content from cells > 5um,mg m-3,,,,,,
MAGN,,Magnetic Variation From True North  ,degrees,Degrees ,UAAA,Y,Y,MAGDCORR,Diurnal variation correction of magnetic field of the Earth
MNSV,,Retention Filter Size,microns,,,,,,
MNSZ,,Minimum size of organisms,microns,,,,,,
MODF,,Additional taxonomic information,1,,,,,,
NETR,solar_irradiance,Net Solar Radiation  ,watts/m**2,Watts per square metre,UWCM,"N: does not specify ""solar""",Y,,
NORG,mass_concentration_of_organic_nitrogen_in_sea_water,Organic Nitrogen Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,DONXXXX1,Concentration of organic nitrogen {organic_N} {DON} per unit volume of the water body [dissolved plus reactive particulate <GF/F phase]
NSCM,northward_sea_water_velocity,North (magnetic) Component of Current  ,m s-1,metres per second,UVAA,Y,Y,,
NSCT,northward_sea_water_velocity, North (true) Component of Current  ,m s-1,metres per second,UVAA,Y,Y,LCNSZZ01,Northward current velocity in the water body
NTOT,, Total Nitrogen (N) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,MDMAP013,Concentration of total nitrogen {total_N} per unit volume of the water body [particulate >unknown phase]
NTRA,mole_concentration_of_nitrate_in_sea_water,Nitrate (NO3-N) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,NTRAXXDZ,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [dissolved plus reactive particulate <unknown phase]
NTRI,mole_concentration_of_nitrite_in_sea_water,NitrIte (NO2-N) Content  ***TYPO CORRECTED,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase]
NTRZ,mole_concentration_of_nitrate_and_nitrite_in_sea_water,Nitrate + Nitrate Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,NTRZXXDZ,Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water body [dissolved plus reactive particulate <unknown phase]
NUM,,Number of scans averaged,1,,,,,,
OSAT,fractional_saturation_of_oxygen_in_sea_water,Oxygen Saturation  ,%,percent,UPCT,NA,Y,OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase]
OCUR,,Oxygen Sensor Current ,ma,??,??,NA,Y,OXYCRW01,Instrument output (current) by oxygen sensor
OPPR,partial_pressure_of_oxygen_in_sea_water,Oxygen Partial Pressure,1,,,,,,
OTMP,,Oxygen Sensor Temperature  ,degree_C,Degrees Celsius,UPAA,Y,Y,OXYTPR01,Temperature of oxygen sensor membrane
PCGD,,Percent Good Signal Return (ADCP),%,,,,,PCGD01,Acceptable proportion of signal returns by acoustic doppler current profiler (ADCP)
PGDP,,Percent Good Pings,%,,,,,,
PHA,,Phaeopigment content,mg m-3,,,,,PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase]
PHOS,mole_concentration_of_phosphate_in_sea_water,Phosphate (PO4-P) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,N: units differ,Y,PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase]
PHPH,sea_water_ph_reported_on_total_scale,Hydrogen Ion Concentration (PH)  ,1,,,Y,Y,PHXXZZXX,pH per unit volume of the water body
PHY,,Phytoplankton Counts,10**3cells/L,,,,,,
PIM,,Bottle sample particulate inorganic matter,g/m**3,,,,,,
PLT,,Percentage of the incident surface light remaining at the sampled depth,%,,,,,PCTIRRXX,Proportion of sub-surface irradiance (PAR wavelengths) {Percent light depth}
POC,ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,Particulate Organic Carbon content,mmol m-3,,,,,,
POM,,Bottle sample particulate organic matter,g/m**3,,,,,,
PON,,Particulate Organic Nitrogen content,mmol m-3,,,,,,
POTM,sea_water_potential_temperature,Potential Temperature  ,degree_C,Degrees Celsius,UPAA,Y,Y,,
POTT,air_potential_temperature,Potential Air Temperature  ,degree_C,Degrees Celsius,UPAA,Y,Y,CPATZZ01,Potential temperature of the atmosphere
PPR,net_primary_production_of_biomass_expressed_as_carbon_per_unit_volume_in_sea_water,Primary Production,mgC/m**3/h,,,,,,
PRES,sea_water_pressure,Sea Pressure (sea surface - 0)  ,decibars,decibars,UPDB,"N: ""=""",Y,PRESPR01,Pressure (spatial co-ordinate) exerted by the water body by profiling pressure sensor and corrected to read zero at sea level
PSAL,sea_water_practical_salinity,Practical Salinity  , psu,dimensionless,UUUU,Y,Y,PSLTZZ01,Practical salinity of the water body
PROC,,Identifies the state of the sample analysis,1,,,,,,
PRP,,Production primaire ? partir d`incubations,mgC/m**3/h,,,,,,
PRSN,,Indicates presence (1) or absence (0) of organisms if not counted,1,,,,,,
PRSV,,Method used for sample preservation,1,,,,,,
PTCH,platform_pitch_angle,Pitch Angle  ,degrees,Degrees ,UAAA,Y,"N: specifies ""ADCP""",PTCHGP01,Orientation (pitch) of measurement device by unspecified GPS system
PTCHSDEV,,Pitch Angle standard deviation,degrees,,,,,,
QCFF,,Quality flag: QCFF,1,,,,,,
QQQQ,, Quality Control Flag  ,1,,,NA,Y,,
RANG,, Distance of Object from Reference Point  ,metres,Metres,ULAA,Y,Y,,
RELH,relative_humidity,Relative Humidity  , %,percent,UPCT,Y,Y,CHUMZZ01,Relative humidity of the atmosphere
RELP,, Relative Total Pressure  ,decibars,decibars,UPDB,Y,Y,,
